,Exposure,Car Age,Driver Age,Density,Claims,Power,Brand,Gas,Region
0,1.0847511,19.508018,22.921225,5990.1294,ClaimNb_0,Power_f,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R52
1,0.30428037,2.41719,22.03675,-714.52234,ClaimNb_0,Power_g,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
2,0.31937948,3.0551567,12.960785,3113.0562,ClaimNb_0,Power_g,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R72
3,0.5623268,4.884365,67.16586,799.3534,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
4,0.09932411,-3.4386954,45.353245,4910.645,ClaimNb_0,Power_g,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R53
5,0.6382904,4.54296,58.828648,10250.405,ClaimNb_0,Power_f,Brand_Japanese (except Nissan) or Korean,Gas_Regular,Region_R11
6,0.38880324,15.665428,31.507149,118.967896,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Diesel,Region_R24
7,0.9991543,4.9504223,61.99562,-796.0023,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
8,0.86307186,2.6924963,50.384815,-1660.6315,ClaimNb_0,Power_g,Brand_Japanese (except Nissan) or Korean,Gas_Diesel,Region_R54
9,0.718504,13.050325,23.742228,-824.56335,ClaimNb_0,Power_g,Brand_Japanese (except Nissan) or Korean,Gas_Regular,Region_R11
10,0.50473046,10.469339,78.56133,1827.6406,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
11,0.59954005,13.830086,20.983952,1036.8127,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Diesel,Region_R52
12,0.8737273,9.546077,46.063244,331.38184,ClaimNb_0,Power_g,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R72
13,0.18320337,0.78240776,44.44606,-183.86707,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
14,0.84222454,5.732395,42.908157,11492.155,ClaimNb_1,Power_g,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R53
15,1.2637124,14.4791,20.039148,1924.1646,ClaimNb_0,Power_j,Brand_Japanese (except Nissan) or Korean,Gas_Diesel,Region_R52
16,-0.21228194,4.7812414,48.44642,6299.817,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
17,0.21980345,0.4070654,37.298958,15631.744,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
18,0.47123048,9.6295395,58.683567,9232.895,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R24
19,0.36782992,19.048826,46.791058,-818.548,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
20,0.6235455,5.7112026,28.806015,8778.671,ClaimNb_0,Power_d,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R24
21,0.5291019,14.617691,20.774025,-1242.8451,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Diesel,Region_R24
22,1.1238699,0.63921404,61.118507,3022.929,ClaimNb_0,Power_e,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R52
23,0.5912802,0.36598778,53.972935,7115.88,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
24,0.309764,12.995456,45.314243,13.631226,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
25,0.46029437,6.41337,36.79442,-792.8324,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
26,0.13909614,6.8492703,54.81719,3142.379,ClaimNb_0,Power_i,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R11
27,0.511523,-0.7955041,37.106472,14963.998,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
28,0.5903893,7.2385435,47.181393,-214.80823,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
29,0.8425385,6.91659,46.547256,-358.52527,ClaimNb_0,Power_h,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
30,0.23635471,0.89098644,28.818277,-568.59216,ClaimNb_0,Power_d,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R11
31,0.66821045,5.425414,25.731802,21.261963,ClaimNb_0,Power_d,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R11
32,0.43701738,9.689314,45.235714,326.35938,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R24
33,0.38174546,4.790184,37.60025,2207.832,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
34,0.8506566,6.3662844,38.82698,-850.9845,ClaimNb_0,Power_i,"Brand_Renault, Nissan or Citroen",Gas_Regular,Region_R53
35,1.0166371,4.8583374,45.20377,-1246.4899,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
36,0.5962947,2.8680038,64.829285,7146.3687,ClaimNb_0,Power_e,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R52
37,-0.07073349,12.229843,63.11692,2981.6926,ClaimNb_0,Power_e,Brand_Japanese (except Nissan) or Korean,Gas_Diesel,Region_R52
38,1.0184141,11.338709,62.653576,428.48413,ClaimNb_0,Power_d,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R11
39,0.9823761,7.3281856,31.57316,723.2715,ClaimNb_0,Power_g,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R31
40,0.45933688,5.0391054,67.981895,10545.296,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
41,0.5207164,20.942717,24.655188,3218.0845,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R24
42,0.8652491,5.462844,59.602905,-695.2167,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Regular,Region_R24
43,0.89744806,20.318462,35.917587,1575.2314,ClaimNb_0,Power_g,Brand_Japanese (except Nissan) or Korean,Gas_Diesel,Region_R54
44,0.43083158,12.136422,36.44476,369.74,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
45,0.15826774,0.40372276,60.83468,-69.68054,ClaimNb_0,Power_f,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
46,-0.0038027763,13.849854,29.040958,247.34998,ClaimNb_0,Power_e,"Brand_Renault, Nissan or Citroen",Gas_Diesel,Region_R31
47,0.3070138,4.495349,23.320711,-555.1356,ClaimNb_0,Power_f,"Brand_Volkswagen, Audi, Skoda or Seat",Gas_Diesel,Region_R52
48,0.2736609,2.5345416,56.3875,888.2733,ClaimNb_0,Power_e,"Brand_Opel, General Motors or Ford",Gas_Diesel,Region_R52
